TF,avg_log2FC_deg,p_val_adj_deg,avg_log2FC_positive,p_val_adj_positive,avg_log2FC_negative,p_val_adj_negative,module,kME,direction
ESR2,1.15732496466268,1,0.456850169933611,8.56569496827657e-19,-0.192296078419911,1,blue,0.0917761100703702,Aged_up
POU2F2,0.439095933078058,1,0.413655424206295,1.67882357824206e-18,-0.0564769702842627,1,blue,0.416492741395521,Aged_up
RORB,1.90327934205614,0.0163112326647528,0.570981912207377,2.04869334893309e-18,-0.823591409677858,1,brown,0.0896278100177267,Aged_up
ELF1,-0.410198889952153,2.37145816236617e-05,-0.184458099889611,1.38581088809999e-16,0.469967732096064,2.39939074318285e-48,brown,0.168300566705009,Young_up
MEIS1,-0.361295041229782,1,-0.254679107682637,1.47016367695127e-16,0.139452436895295,2.0957947940374e-10,turquoise,0.254201836831919,Young_up
BATF,0.987399963220366,1,0.381006655597666,2.052652704608e-15,0.482889977349982,0.000298673550831149,blue,0.262578711023357,Aged_up
BACH2,-0.68780172202096,2.09950050477507e-06,-0.256999955288292,6.69656897970221e-15,0.787391990583165,1.46204710111105e-53,brown,0.0892195359971761,Young_up
TRPS1,0.312738686270381,1,0.33841546561932,1.38561235838228e-13,-0.237739238414982,4.26538872256118e-10,red,0.100910754419064,Aged_up
TWIST1,0.456396445893198,1,-0.279869813737411,4.77602381683771e-13,0.384320289429143,2.00721701967478e-19,yellow,0.151739614384928,Aged_up
BHLHE41,-0.710445615202599,0.146285025511929,-0.352647418221407,1.40659290528838e-12,0.131181391524854,1,brown,0.088262992206485,Young_up
TGIF2,-0.0204621545526038,1,0.209915483905025,6.53840331982357e-12,-0.174298748782633,1,brown,0.168695907088383,Young_up
REL,-0.465772664945248,0.467535400956259,0.183567991731177,9.05108254548608e-12,0.0921997950523146,1,brown,0.280276850827761,Young_up
HIF1A,-0.608209781700298,0.0206173685820577,-0.171244411269944,2.84593163328088e-11,0.714588757956033,1.57159059980753e-87,yellow,0.253008194263,Young_up
JDP2,-0.185879789855098,1,-0.249851495161472,6.03982664354851e-11,-0.00545756241844986,1,magenta,0.428541056664823,Young_up
NR3C1,-0.484954203277357,2.88781599134605e-06,-0.265928961821448,1.76846724649412e-10,0.301671756715983,3.98390907512331e-23,brown,0.127485578088114,Young_up
ESR1,-0.216691641373138,1,0.225891625470471,6.1735814008758e-10,0.152194450436952,0.00580697551822727,turquoise,0.26333295089762,Young_up
ATF6,0.107510569519973,1,0.194222870281696,1.36597629979332e-09,-0.628808221851106,2.27147037473916e-22,red,0.382568485968699,Aged_up
JUN,-0.703664780337232,1.86312158557941e-11,-0.232844782454421,1.52672893584945e-09,0.235063410111851,7.15910209274781e-16,magenta,0.669466882021046,Young_up
FOSB,0.316601293019906,0.000102450792022344,0.181661260707914,8.17076168812633e-09,-0.0550313474295963,1,magenta,0.651932102587355,Aged_up
MXI1,-1.02871970214291,0.000813778143817455,-0.218892373590145,2.72006319074247e-08,0.0106864549868457,1,turquoise,0.119854781281256,Young_up
TCF7L1,-0.493225877686054,0.461438712040712,-0.2307273638838,3.97020673624926e-08,0.520865903171368,9.78629871996605e-37,turquoise,0.269101915916894,Young_up
