source,target,n_pos,sum_pos,n_neg,sum_neg,mean_pos,mean_neg,score_pos,score_neg,delta
pink,brown,7,0.178597556458732,33,-2.28915002978947,0.0255139366369617,-0.0693681827208932,2.33333333333333,11,-8.66666666666667
blue,brown,198,10.1356021697176,492,-31.0873206270521,0.0511899099480687,-0.0631856110305937,18,44.7272727272727,-26.7272727272727
yellow,brown,192,13.7316742570463,88,-5.22792992928475,0.0715191367554493,-0.0594082946509631,24,11,13
turquoise,brown,85,2.86252644251728,694,-49.5238138499874,0.0336767816766739,-0.0713599623198665,2.93103448275862,23.9310344827586,-21
brown,brown,1206,131.823898727045,43,-1.54414237967001,0.109306715362392,-0.0359102878993026,54.8181818181818,1.95454545454545,52.8636363636364
red,brown,135,9.35666964106337,50,-1.77106157516464,0.0693086640078768,-0.0354212315032928,11.25,4.16666666666667,7.08333333333333
black,brown,15,0.452291352902794,37,-1.48152241342301,0.0301527568601863,-0.0400411463087299,5,12.3333333333333,-7.33333333333333
greenyellow,brown,46,3.68329401308475,19,-0.68177403825835,0.0800716089801033,-0.0358828441188605,15.3333333333333,6.33333333333333,9
green,brown,182,13.9622096971516,52,-2.28201578165576,0.0767154378964374,-0.0438849188779954,182,52,130
purple,brown,50,3.68799998855042,17,-1.05297084258047,0.0737599997710085,-0.0619394613282628,25,8.5,16.5
magenta,brown,15,0.46540865395817,29,-1.54982414882193,0.0310272435972113,-0.0534422120283425,1.07142857142857,2.07142857142857,-1
blue,red,252,13.7614839934913,33,-1.01372261929007,0.0546090634662352,-0.0307188672512142,22.9090909090909,3,19.9090909090909
yellow,red,61,2.75027929927085,52,-1.96276249463225,0.0450865458896861,-0.0377454325890817,7.625,6.5,1.125
turquoise,red,157,5.69097213255855,100,-4.02891142873504,0.036248230143685,-0.0402891142873504,5.41379310344828,3.44827586206897,1.96551724137931
brown,red,193,12.5826195203676,118,-3.61114872700486,0.0651949197946509,-0.0306029553136005,8.77272727272727,5.36363636363636,3.40909090909091
red,red,154,14.8698641539483,1,-0.0423474544751402,0.0965575594412227,-0.0423474544751402,12.8333333333333,0.0833333333333333,12.75
black,red,6,0.453979577734758,27,-1.27276549824338,0.0756632629557931,-0.0471394628979031,2,9,-7
greenyellow,red,6,0.132265960321988,21,-1.4972970747584,0.0220443267203313,-0.0712998607027808,2,7,-5
green,red,14,0.691020731807433,85,-3.81901883364535,0.0493586237005309,-0.0449296333370041,14,85,-71
purple,red,36,2.95129079698674,2,-0.0395132355290441,0.0819802999162983,-0.0197566177645221,18,1,17
magenta,red,9,0.528899139333847,4,-0.127354554361784,0.0587665710370941,-0.031838638590446,0.642857142857143,0.285714285714286,0.357142857142857
pink,black,3,0.0871426130522851,0,0,0.029047537684095,0,1,0,1
black,black,20,2.27379496486151,0,0,0.113689748243075,0,6.66666666666667,0,6.66666666666667
green,black,2,0.0349796849181928,0,0,0.0174898424590964,0,2,0,2
blue,greenyellow,41,1.9444573381429,27,-0.827817730804522,0.0474257887351927,-0.0306599159557231,3.72727272727273,2.45454545454545,1.27272727272727
yellow,greenyellow,29,1.52258099021581,27,-0.998159258036591,0.0525027927660626,-0.0369688614087626,3.625,3.375,0.25
turquoise,greenyellow,60,1.40653467222103,90,-3.91101314420903,0.0234422445370172,-0.0434557016023226,2.06896551724138,3.10344827586207,-1.03448275862069
brown,greenyellow,91,3.43856221853223,55,-1.31684511921772,0.0377863980058487,-0.0239426385312314,4.13636363636364,2.5,1.63636363636364
black,greenyellow,14,0.654599894060427,1,-0.0183052942194363,0.0467571352900305,-0.0183052942194363,4.66666666666667,0.333333333333333,4.33333333333333
greenyellow,greenyellow,54,5.50407670076416,0,0,0.101927346310447,0,18,0,18
green,greenyellow,22,1.35737062137265,20,-0.840185988623727,0.0616986646078479,-0.0420092994311864,22,20,2
pink,green,2,0.0912594681954751,0,0,0.0456297340977376,0,0.666666666666667,0,0.666666666666667
blue,green,13,0.285345183004622,42,-2.12207058961324,0.021949629461894,-0.0505254902288867,1.18181818181818,3.81818181818182,-2.63636363636364
yellow,green,21,1.48360552985974,4,-0.221012686522027,0.0706478823742735,-0.0552531716305068,2.625,0.5,2.125
turquoise,green,22,0.698949737612536,63,-3.21197725992266,0.0317704426187516,-0.0509837660305185,0.758620689655172,2.17241379310345,-1.41379310344828
brown,green,67,4.37236994644285,12,-0.396232584514805,0.0652592529319828,-0.0330193820429004,3.04545454545455,0.545454545454545,2.5
black,green,7,0.685450313096171,0,0,0.097921473299453,0,2.33333333333333,0,2.33333333333333
greenyellow,green,9,0.804511918982074,2,-0.055832523380074,0.0893902132202304,-0.027916261690037,3,0.666666666666667,2.33333333333333
green,green,43,4.76760305846241,0,0,0.110874489731684,0,43,0,43
purple,green,2,0.220555748648403,4,-0.406123770696742,0.110277874324202,-0.101530942674185,1,2,-1
pink,purple,3,0.224629576485618,2,-0.0258520025332381,0.0748765254952061,-0.012926001266619,1,0.666666666666667,0.333333333333333
blue,purple,19,0.548498918110809,24,-1.28608362774207,0.0288683641110952,-0.0535868178225863,1.72727272727273,2.18181818181818,-0.454545454545454
yellow,purple,6,0.240123814843762,26,-1.45945616977039,0.0400206358072936,-0.0561329296065536,0.75,3.25,-2.5
turquoise,purple,42,1.31084624230142,41,-1.19857265155279,0.0312106248167006,-0.0292334793061655,1.44827586206897,1.41379310344828,0.0344827586206897
brown,purple,24,0.874382516816121,20,-0.561990104157906,0.0364326048673384,-0.0280995052078953,1.09090909090909,0.909090909090909,0.181818181818182
red,purple,23,1.12427518280875,0,0,0.0488815296873369,0,1.91666666666667,0,1.91666666666667
greenyellow,purple,2,0.053891266630602,8,-0.167862074604217,0.026945633315301,-0.0209827593255271,0.666666666666667,2.66666666666667,-2
green,purple,3,0.077496286791373,21,-0.703101719623264,0.0258320955971243,-0.0334810342677745,3,21,-18
purple,purple,18,1.63058128090259,0,0,0.0905878489390326,0,9,0,9
magenta,purple,9,0.488655959424461,1,-0.0162140851340873,0.0542951066027179,-0.0162140851340873,0.642857142857143,0.0714285714285714,0.571428571428572
pink,magenta,8,0.263520789362009,10,-0.514469857998542,0.0329400986702512,-0.0514469857998542,2.66666666666667,3.33333333333333,-0.666666666666667
blue,magenta,188,9.15282158761619,257,-8.86781793177254,0.0486852212107244,-0.0345051281391928,17.0909090909091,23.3636363636364,-6.27272727272727
yellow,magenta,75,3.20080159985795,170,-7.16222833165379,0.0426773546647726,-0.0421307548920811,9.375,21.25,-11.875
turquoise,magenta,811,48.58689941062,53,-1.97522555453073,0.059909863638249,-0.0372684066892591,27.9655172413793,1.82758620689655,26.1379310344828
brown,magenta,56,2.20969936112386,1045,-88.5085405591675,0.0394589171629261,-0.0846971679992033,2.54545454545455,47.5,-44.9545454545455
red,magenta,169,16.2433879679496,38,-1.40339563688687,0.0961147217038436,-0.0369314641286019,14.0833333333333,3.16666666666667,10.9166666666667
black,magenta,26,1.53021775288111,55,-6.34709128333992,0.0588545289569656,-0.115401659697089,8.66666666666667,18.3333333333333,-9.66666666666667
greenyellow,magenta,4,0.192992892583638,41,-3.55054691835231,0.0482482231459095,-0.0865987053256662,1.33333333333333,13.6666666666667,-12.3333333333333
green,magenta,72,3.2346854413254,101,-5.11709953722557,0.044926186685075,-0.0506643518537185,72,101,-29
purple,magenta,66,4.20075838193689,9,-0.257947500636314,0.0636478542717711,-0.0286608334040349,33,4.5,28.5
magenta,magenta,183,33.9918150596497,0,0,0.185747623276774,0,13.0714285714286,0,13.0714285714286
