gene,celltype,avg_log2FC,AveExpr,t,p_val,p_val_adj,B,n_Young,n_Aged,direction
MCOLN3,FAP1,-1.76195140632262,3.91428400417755,-6.7890639756004,1.51837259392605e-05,0.014847349300815,3.42451182712718,5,5,Down
COLEC12,FAP1,-1.34202044616283,8.78241898378341,-6.76946347603339,1.56317340229197e-05,0.014847349300815,3.38620801567724,5,5,Down
PTGFR,FAP1,2.28479092351293,5.67976460541931,6.69102414943559,1.75698502382621e-05,0.014847349300815,3.26677182236023,5,5,Up
NR1D2,FAP1,-2.03015074941394,6.53661605597616,-6.66293398435324,1.83245270025961e-05,0.014847349300815,3.21636120656686,5,5,Down
ZNF608,FAP1,4.49384242075429,0.0641008960905475,6.6329023059765,1.9169490757629e-05,0.014847349300815,2.60409326699104,5,5,Up
AC011511.5,FAP1,3.02948537438711,1.29003505038867,6.62077123236148,1.95224250419013e-05,0.014847349300815,2.9014999735383,5,5,Up
EFNA5,FAP1,2.04661795738991,6.57505214841534,6.60196049589796,2.00833710349188e-05,0.014847349300815,3.13009695611599,5,5,Up
NR1D1,FAP1,-2.98527634388092,3.45060736464237,-6.47251455190121,2.44376891593043e-05,0.0172452329181,2.96957286380972,5,5,Down
ROBO2,FAP1,-2.05435837519533,8.11910194817881,-6.4231278578162,2.63532783393001e-05,0.0177884628790276,2.86654298821231,5,5,Down
OPA3,FAP1,1.3330817380638,4.60536696646042,6.34116121393582,2.98915733139389e-05,0.0186368887138765,2.75284729374097,5,5,Up
PPP1R14A,FAP1,-2.07908010274637,1.69500010040752,-6.33759741689563,3.00563829423294e-05,0.0186368887138765,2.70123630996179,5,5,Down
EYA1,FAP1,2.82319794489508,2.08736084802591,6.28903171373719,3.24006535247889e-05,0.0186368887138765,2.61375914577487,5,5,Up
AC025470.2,FAP1,-3.02855601921112,2.02058450941282,-6.28880618098893,3.24119803719592e-05,0.0186368887138765,2.64466309919391,5,5,Down
AC023355.1,FAP1,2.09892189486643,3.89205541340185,6.26449232864564,3.36579810859595e-05,0.0186621484414114,2.65613988870761,5,5,Up
GNG2,FAP1,-1.20647431669423,5.47665120440186,-6.23299131866748,3.53480718428907e-05,0.0188896803215619,2.56613320515863,5,5,Down
LRATD1,FAP1,-3.91396116025191,0.922843809137983,-6.21238844517399,3.65017977228249e-05,0.0188896803215619,2.30365588202089,5,5,Down
ERI2,FAP1,2.01148279807735,7.69765580378416,6.15368189506595,4.00128260131313e-05,0.0200386814146408,2.45359024930961,5,5,Up
DBP,FAP1,-2.67073170175282,3.39214721374746,-6.07367661994839,4.5382454927512e-05,0.0219920809131094,2.3757748509394,5,5,Down
ICAM5,FAP1,3.06139863627634,0.337328720966711,6.05494401001606,4.67464521824547e-05,0.0219920809131094,1.98144271035885,5,5,Up
SOX6,FAP1,-1.85145375752986,5.54748690941635,-6.00457091836368,5.06333726064921e-05,0.0231177170465675,2.2116448194668,5,5,Down
SORBS2,FAP1,5.92922896696128,1.05765161184812,5.96211172766376,5.41744503587557e-05,0.0231177170465675,1.85748617139754,5,5,Up
RBFOX1,FAP1,-6.02602413676672,0.282715812219638,-5.95404608365213,5.48761578543187e-05,0.0231177170465675,1.82394369017107,5,5,Down
EPHA7,FAP1,2.88533267788941,6.20192099077052,5.95048138614032,5.51893337838567e-05,0.0231177170465675,2.13840892299987,5,5,Up
AP001977.1,FAP1,-1.92041521324509,1.60499079601462,-5.93485687022616,5.65844281977176e-05,0.0231177170465675,2.12446629479181,5,5,Down
ACOT12,FAP1,1.47690245152844,3.99463370007253,5.88687654189472,6.11058491962284e-05,0.0243248284300371,2.06577857358775,5,5,Up
SLC6A20,FAP1,-1.87489241031944,3.87383935819726,-5.72261702485066,7.9696140762671e-05,0.0309320646335117,1.80803438786532,5,5,Down
AC096531.2,FAP1,2.48635121870955,2.31814906881694,5.69829913538872,8.29190800484917e-05,0.0312886710976439,1.79153706345403,5,5,Up
PER3,FAP1,-1.20320828375041,7.46980945796719,-5.67392881507736,8.62869044789088e-05,0.0312886710976439,1.68221539925417,5,5,Down
TMEM150C,FAP1,1.02960384668293,4.13389556139651,5.65911586840146,8.84040454897066e-05,0.0312886710976439,1.69530816165246,5,5,Up
RGCC,FAP1,-1.84883025277761,5.52141208237951,-5.65723725376092,8.86764269434029e-05,0.0312886710976439,1.65410460253916,5,5,Down
MYH11,FAP1,4.95423691758766,0.695316380396733,5.61278388676591,9.53861941217351e-05,0.0320361125813244,1.3948549860951,5,5,Up
