Table S4 Co-expression module assignments,,,,,,,,,,,,,,
gene_name,module,color,kME_pink,kME_blue,kME_grey,kME_yellow,kME_turquoise,kME_brown,kME_red,kME_black,kME_greenyellow,kME_green,kME_purple,kME_magenta
ZNF385D,turquoise,turquoise,-0.001355229,-0.050380604,0.109212549,0.012419932,0.203979664,-0.144218463,-0.057275467,-0.037922184,-0.098479489,0.118276209,0.127076257,0.106813044
ADGRL4,pink,pink,0.484052886,-0.014784071,-0.059279589,0.00185115,-0.022787626,-0.071018805,-0.035400213,0.007866491,-0.032609658,-0.028937962,-0.042012184,0.002812999
SGCZ,red,red,0.00879976,0.050677659,0.024009164,-0.029581436,-0.010384404,-0.022503562,0.121216074,0.012654445,-0.024040598,-0.056112953,-0.044350908,0.028376348
LINC02511,turquoise,turquoise,-0.025560957,-0.029859858,0.093987821,-0.080884224,0.147989662,-0.118969066,-0.061864254,0.058966365,-0.011935652,0.105622603,0.063343656,0.081696725
BICDL1,blue,blue,-0.005064416,0.079089056,0.020797336,0.00086718,0.011999289,-0.009087557,0.024573686,0.006594111,-0.007050987,-0.000706551,-1.68E-05,-0.001760167
MRC1,yellow,yellow,0.057580009,0.076425142,-0.071259374,0.231537439,-0.037694522,0.006854344,-0.037448842,0.035961825,-0.01092759,-0.024922038,-0.065676009,-0.053684914
PDE4D,green,green,-0.005349902,-0.034087707,0.008015314,0.069438369,0.058030743,0.043303567,-0.036542833,0.066924703,-0.050641873,0.17324473,0.094533038,0.018351306
RHOH,blue,blue,0.033723539,0.12718333,-0.016391309,0.047972677,-0.006073364,-0.004162676,-0.00310081,0.013079997,-0.004470197,-0.030045004,-0.034552974,-0.040513054
SLC2A14,blue,blue,-0.014737346,0.596232847,0.118363863,-0.040012033,0.149818736,-0.153128184,0.028165927,-0.001108517,0.045181171,-0.023967756,-0.087831915,-0.056541549
CCSER1,pink,pink,0.075694162,-0.014670856,-0.023559823,-0.006120161,-0.012426818,-0.02871088,-0.0227406,0.005660682,-0.013542019,0.012277898,-0.027509834,-0.008870035
TNNT1,green,green,-0.019411005,0.010147956,0.039165603,-0.013099273,0.021667275,0.012286347,-0.012643631,0.002384951,0.00052573,0.055475343,0.014235403,-0.012073414
ADGRB3,yellow,yellow,0.04397051,-0.020565331,-0.222176325,0.49336911,-0.117745058,0.000889955,-0.071512371,0.103577352,-0.120635502,-0.072709371,-0.123719321,-0.061577707
SIPA1L1,yellow,yellow,0.062616123,0.011766879,-0.192625861,0.442770583,-0.114473299,0.018153825,-0.068847348,0.17224214,-0.035324597,0.003635146,-0.135947535,-0.074337702
DACH1,red,red,-0.007847095,0.024094341,0.081791749,-0.049895876,0.085471146,-0.04601875,0.115015883,-0.033791923,-0.094971101,-0.01058818,0.122182199,0.078095259
CNKSR3,yellow,yellow,0.05624428,-0.008883088,-0.061083015,0.11015355,-0.02572537,-0.01801319,-0.017349449,0.040562251,-0.021366128,-0.030028095,-0.024583927,-0.001636976
RHOJ,turquoise,turquoise,-0.029575792,-0.017886609,0.221426391,-0.099860658,0.382451924,-0.263276009,-0.066441771,-0.063465537,-0.105035897,0.052248768,0.075740237,0.115083459
CYP1B1,brown,brown,-0.040403395,-0.018581188,-0.238431866,0.359705905,-0.326469051,0.372119543,0.012149417,-0.013869886,0.153963231,-0.133572683,-0.131289336,-0.245305419
INHBA,yellow,yellow,-0.019902881,-0.060199823,-0.202266945,0.374173281,-0.21759958,0.280998878,-0.008876009,0.02121487,0.056774463,-0.055767591,-0.077680608,-0.166660074
MLIP,turquoise,turquoise,-0.04770265,0.07229751,0.104202885,0.004509543,0.127859199,-0.02730054,0.027498305,-0.040050738,0.026218446,-0.02087602,0.028248057,0.006557039
TTN-AS1,blue,blue,-0.032300544,0.287945758,0.10409593,0.000615238,0.109986644,-0.049918491,0.048891265,-0.030575694,0.007256625,-0.050948824,-0.028070318,-0.0429354
SDK1,brown,brown,-0.108630469,-0.026230857,-0.203176209,0.242497006,-0.335549186,0.53279645,0.013357648,-0.077782932,0.341008235,-0.112418317,-0.143524165,-0.299210695
CXCL3,brown,brown,0.011689611,-0.06770269,-0.153978734,0.185257107,-0.272444158,0.313747965,0.118733192,-0.027578767,-0.043157658,-0.099303028,-0.017223899,-0.121743266
SERPINE2,brown,brown,-0.049754205,0.010916649,-0.014290785,0.053518933,-0.109044798,0.156179198,0.118805732,0.015736067,-0.065473432,0.117965186,0.087992661,0.004182707
PPP1R14C,yellow,yellow,0.030540736,-0.017110074,-0.142081369,0.346449602,-0.079724411,0.015551603,-0.063464616,0.045696951,-0.032726918,-0.024450173,-0.0872379,-0.060431302
CD44,brown,brown,-0.064815807,-0.089841983,-0.276143816,0.162517129,-0.556765953,0.687275612,0.132770629,-0.007627998,0.114207808,-0.048171299,0.045218999,-0.295483069
NCAM2,purple,purple,-0.06475606,-0.004813885,0.139464646,-0.117013719,0.121460439,-0.02087163,0.195806907,-0.094516278,-0.289809763,-0.043932062,0.346739764,0.108136055
AC011287.1,yellow,yellow,0.00700993,0.019346631,-0.043845391,0.154795258,-0.032538918,0.008346582,0.024646079,0.027458262,0.000263582,-0.007232159,-0.032942423,0.006499834
FBXO32,yellow,yellow,-0.00036487,0.030565118,-0.018809559,0.201049517,-0.006619415,-0.020912869,-0.027709292,0.008597426,-0.032019857,-0.014996195,-0.037600154,0.028730797
RAPGEF5,pink,pink,0.493579899,-0.026502184,-0.082452499,0.000144745,-0.044049403,-0.041623205,-0.026396051,0.002265963,-0.04287264,-0.033226226,-0.016273129,0.000965626
PHLDB2,brown,brown,-0.061999447,-0.015926773,-0.108142628,0.045946576,-0.214510874,0.34021659,0.119715092,-0.054268635,0.18057913,-0.224578483,-0.131592014,-0.186298753
ABCC9,brown,brown,-0.040998249,0.060161627,0.024435851,-0.046021256,-0.088928391,0.198963311,0.158514912,-0.04620142,0.013383587,-0.110756177,0.006442611,-0.099727248
DCLK1,brown,brown,-0.127378039,0.054732147,0.058812458,-0.163824085,-0.059935313,0.228799854,0.075380418,-0.134315776,0.229543339,-0.105044043,-0.055742296,-0.128998457
PTX3,brown,brown,-0.03568509,-0.002486247,-0.036231098,-0.016189643,-0.15107259,0.246637395,0.119293146,-0.03571419,0.057201801,-0.08869994,0.008012266,-0.107733226
PTGS2,brown,brown,-0.038235071,-0.05333076,-0.080844724,0.091968335,-0.179592478,0.251930687,0.148768127,-0.009559393,-0.087046486,-0.021968978,0.063921801,-0.015251046
MMP19,purple,purple,-0.033789173,-0.100876784,0.064389599,-0.028682245,0.005924256,0.014229819,0.075201795,-0.028069091,-0.080031271,0.044584103,0.241463365,0.122968364
AKAP12,red,red,-0.069165106,0.041578182,0.156874563,-0.224890204,0.004814957,0.068157711,0.349830375,-0.140484976,-0.036044559,-0.076823791,0.245462207,0.147195251
SLIT3,black,black,0.080223045,-0.008804652,-0.009387982,-0.016545616,-0.030836762,-0.051660394,-0.094735557,0.388888029,0.050341465,0.123955919,-0.155867768,-0.035583863
CA3,yellow,yellow,0.011217532,0.016697104,-0.013132582,0.097202713,-0.019319559,0.029908764,-0.030602905,0.009514125,-0.023505122,0.030901538,-0.021219332,-0.048181804
HMOX1,brown,brown,-0.037203996,-0.109053794,-0.046183085,-0.004552551,-0.191236372,0.25780381,0.019917552,-0.033236058,0.026950291,0.008548003,0.058564769,-0.104417393
CD74,pink,pink,0.54050409,-0.064272474,-0.177507917,0.147989558,-0.073980009,-0.09534416,-0.105670647,0.100857747,-0.088099583,0.031810809,-0.077599575,0.004858116
PLEK,pink,pink,0.15326061,-0.010118661,-0.031972594,-0.006084497,-0.023842281,-0.021661322,-0.025819709,0.00018273,-0.02015179,0.011505396,-0.007557475,-0.002008729
TEX41,yellow,yellow,-0.00909432,0.107692088,-0.074215085,0.200162209,-0.087688076,0.08407022,0.045036811,0.016270279,-0.039542916,-0.036421324,-0.057405922,-0.072959553
HAS2,red,red,-0.059659843,0.017164144,-0.015973842,-0.018417689,-0.173258575,0.211207092,0.266017637,-0.061744647,0.051700669,-0.074784795,0.116374628,-0.048424214
SLC16A10,yellow,yellow,0.059997415,-0.020992719,-0.210369672,0.506136437,-0.104205933,0.002518315,-0.085473557,0.053257908,-0.053865182,-0.045811275,-0.122278555,-0.057398654
MSR1,greenyellow,greenyellow,-0.019841207,0.06906181,0.026769732,-0.006495609,0.002957979,0.028491507,0.000609295,-0.013369046,0.225309678,-0.041827282,-0.079491973,-0.038307982
CHRM3,yellow,yellow,-0.002808615,-0.010049267,-0.042451055,0.125354146,-0.027924186,0.016655787,-0.044112684,0.035228424,-0.022430688,0.073276437,-0.023049294,-0.025135238
