Table S2 Pseudobulk differential expression results across all cell types,,,,,,,,,,
gene,celltype,avg_log2FC,AveExpr,t,p_val,p_val_adj,B,n_Young,n_Aged,direction
CRISPLD1,FAP3,-3.812091785,5.055095977,-5.309958725,9.44E-05,0.022843406,1.565491168,5,5,Down
SLPI,FAP3,3.051661305,5.120618386,5.281816691,9.95E-05,0.022843406,1.546867054,5,5,Up
KCNIP1,FAP3,-1.999364028,6.594131172,-5.274004949,0.000101014,0.022843406,1.530878362,5,5,Down
NTRK2,FAP3,1.25963512,7.841801445,5.271890156,0.000101416,0.022843406,1.497740652,5,5,Up
SLFN11,FAP3,1.221040021,5.876589936,5.268934559,0.000101979,0.022843406,1.540284034,5,5,Up
CAPN6,FAP3,-2.358230371,4.72660786,-5.195880885,0.000116995,0.023647668,1.387222965,5,5,Down
RSPO3,FAP3,3.073043941,4.052929633,5.193614061,0.000117496,0.023647668,1.251084687,5,5,Up
TMEM72-AS1,FAP3,3.134658841,5.301968338,5.177258623,0.000121177,0.023647668,1.377136116,5,5,Up
EPHA3,FAP3,-2.426802994,7.42116682,-5.148497919,0.000127943,0.023647668,1.284228665,5,5,Down
CCDC85A,FAP3,3.055995773,4.620627339,5.147887242,0.000128091,0.023647668,1.170258864,5,5,Up
MARCKS,FAP3,-1.292550709,7.883483069,-5.142260951,0.000129461,0.023647668,1.257536753,5,5,Down
RASD1,FAP3,1.748319599,7.548515561,5.127129765,0.000133223,0.023647668,1.243044999,5,5,Up
CACNA1C,FAP3,1.615683561,6.349678439,5.121336078,0.000134693,0.023647668,1.267589044,5,5,Up
TENM4,FAP3,-1.717008784,6.038161695,-5.073965137,0.00014736,0.025190792,1.184880185,5,5,Down
KCNH1,FAP3,3.35323533,4.440679611,5.029674722,0.00016032,0.025317728,1.000527846,5,5,Up
C11orf80,FAP3,-2.846306094,3.882438479,-5.021501348,0.000162837,0.025317728,0.955067203,5,5,Down
MX2,FAP3,2.027372167,5.869670917,5.00889626,0.0001668,0.025317728,1.081405151,5,5,Up
MTX2,FAP3,-2.214875989,4.070758007,-4.997882576,0.000170345,0.025317728,0.972200393,5,5,Down
AC119674.1,FAP3,1.713591135,8.909727002,4.995501613,0.000171121,0.025317728,0.975691104,5,5,Up
SCN7A,FAP3,-1.875878591,6.25202357,-4.994383725,0.000171487,0.025317728,1.035265878,5,5,Down
CRYM,FAP3,1.959736539,4.438874376,4.979379063,0.000176476,0.025475282,0.995936103,5,5,Up
DPH6,FAP3,1.314010327,6.054713493,4.949246335,0.000186953,0.026190525,0.957589414,5,5,Up
SMIM4,FAP3,1.269972681,5.693623455,4.942200211,0.000189494,0.026190525,0.956951664,5,5,Up
ADAMTSL1,FAP3,-1.999603448,7.101789932,-4.902704764,0.000204415,0.027664134,0.834475153,5,5,Down
ANGPT1,FAP3,1.889827572,5.916167686,4.88472067,0.000211606,0.027875058,0.853594977,5,5,Up
ICAM1,FAP3,2.378141399,7.062707026,4.860645026,0.000221643,0.027875058,0.770551861,5,5,Up
PCDH9,FAP3,1.193498602,9.620085878,4.856899509,0.000223249,0.027875058,0.709977387,5,5,Up
ZCWPW2,FAP3,1.252512176,5.467352533,4.853657468,0.000224648,0.027875058,0.801773134,5,5,Up
LRMDA,FAP3,1.346681619,7.95277691,4.847274604,0.000227429,0.027875058,0.707729838,5,5,Up
PRKCE,FAP3,1.147678614,7.94269697,4.780466002,0.000258761,0.030101667,0.581561222,5,5,Up
SKAP2,FAP3,3.009982471,3.957287286,4.77955502,0.000259218,0.030101667,0.561067263,5,5,Up
KCND2,FAP3,-1.509353204,9.038178228,-4.778998669,0.000259497,0.030101667,0.563562397,5,5,Down
ALPK1,FAP3,1.263976188,5.684602346,4.756019643,0.00027131,0.030919826,0.614017403,5,5,Up
CASC15,FAP3,2.026068092,4.988235721,4.741222302,0.000279209,0.031187358,0.6095298,5,5,Up
RASSF2,FAP3,-2.611099787,3.766335775,-4.733800796,0.00028326,0.031187358,0.492070596,5,5,Down
GNG2,FAP3,-1.360121734,4.830904334,-4.721965488,0.000289845,0.031380523,0.575331366,5,5,Down
AL355304.1,FAP3,1.768784844,5.261539494,4.69907572,0.000303032,0.032107707,0.53349203,5,5,Up
BHLHE40,FAP3,-1.060188363,7.439770303,-4.683440688,0.000312393,0.032107707,0.406587223,5,5,Down
SLC39A8,FAP3,1.660470586,4.804086991,4.667234124,0.000322411,0.032107707,0.477352086,5,5,Up
