gene,Yellow_Module,Brown_Module,Blue_Module,DEGs_FAPs,SMR_UKB,SMR_FinnGen
ATP1A1,0,1,0,0,0,0
ATP1B1,0,0,0,0,1,0
ATP1B3,0,1,0,0,0,0
ATP2A2,0,0,0,0,1,0
ATP2B1,0,1,0,0,0,0
ATP2B1-AS1,0,1,0,0,0,0
ATP5SL,0,0,0,0,0,1
ATP6AP1L,0,0,1,0,0,0
ATP6V0E1,0,0,0,0,1,0
ATP6V1A,0,0,0,0,0,1
ATP6V1E2,0,0,1,0,0,0
ATP8A2,0,0,0,0,1,0
ATPIF1,0,0,0,0,1,0
ATRAID,0,0,0,0,1,0
ATRIP,0,0,0,0,1,0
ATXN1,1,0,0,0,0,0
ATXN10,0,0,1,0,1,0
ATXN7L1,0,0,1,0,0,0
AUH,0,0,1,0,0,0
AUTS2,1,0,0,1,0,0
AVEN,0,1,0,0,0,0
AXL,0,1,0,0,0,0
AZIN1-AS1,0,0,1,0,0,0
B2M,1,0,0,0,0,0
B3GALT1,0,0,0,0,0,1
B3GALTL,0,0,0,0,1,0
B3GAT1,0,0,0,0,0,1
B3GNT8,0,0,0,0,1,0
B4GALNT1,0,0,0,0,0,1
B4GALT4,0,0,0,0,1,1
BABAM2,0,0,1,0,0,0
BACH2,0,1,0,0,0,0
BAG5,0,0,0,0,1,0
BANF1,0,0,0,0,0,1
BANP,0,1,0,0,0,0
BASP1,0,1,0,0,0,0
BATF,0,0,1,0,0,0
BBS1,0,0,0,0,0,1
BBS4,0,0,0,0,1,0
BCAS4,0,0,0,0,1,0
BCAT1,1,0,0,0,0,0
BCL10,0,0,0,0,1,0
BCL2L11,1,0,0,0,0,0
BCL6,0,0,1,0,0,0
BCO2,0,0,0,0,0,1
BCOR,0,0,1,0,0,0
BCR,0,1,0,0,0,1
BDKRB2,1,0,0,0,0,0
BDNF,1,0,0,0,1,1
BEAN1,0,0,0,0,0,1
BECN1,0,0,0,0,1,0
BEST3,0,0,0,0,0,1
BHLHE40-AS1,0,0,1,0,0,1
BHLHE41,0,1,0,0,0,0
BHMT2,0,0,0,0,0,1
BICD1,0,1,0,0,0,1
BICDL1,0,0,1,0,0,0
BID,0,1,0,0,0,0
BIRC3,0,1,0,0,0,0
BLMH,0,0,0,0,0,1
BLVRB,0,0,0,0,1,0
BMERB1,0,1,0,0,0,0
BMP2,0,1,0,0,0,0
BMP6,1,0,0,0,0,0
BMP8A,0,0,0,0,1,0
BMPR1B,0,0,0,0,0,1
BMS1P1,0,0,0,0,1,0
BMS1P2,0,0,0,0,1,0
BMS1P4,0,0,0,0,0,1
BPHL,0,0,0,0,0,1
BRCA2,0,0,1,0,0,0
BRD9,0,0,0,0,1,0
BRI3,0,0,0,0,1,0
BRIP1,0,0,1,0,0,0
BSN-AS2,0,0,0,0,1,1
BST1,0,0,0,0,0,1
BST2,1,0,0,0,0,0
BTBD11,1,0,0,0,0,0
BTBD2,0,0,1,0,0,0
