level,x,y,piece,group,nlevel,n,PANEL,fill,colour,linewidth,linetype,alpha,sample
2e-08,4007.50741792929,-1261.82713938806,1,-1-002-001,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
2e-08,3988.42170920715,-1234.70154671717,1,-1-002-001,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
2e-08,3963.93607954545,-1204.04867454278,1,-1-002-001,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
2e-08,3958.43825365068,-1196.77193813131,1,-1-002-001,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
2e-08,3927.37694683014,-1158.84232954545,1,-1-002-001,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
2e-08,3920.36474116162,-1150.90885622481,1,-1-002-001,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
2e-08,3894.4277556974,-1120.9127209596,1,-1-002-001,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
2e-08,3876.79340277778,-1102.34213731691,1,-1-002-001,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
2e-08,3858.30854265639,-1082.98311237374,1,-1-002-001,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
2e-08,3833.22206439394,-1058.56832817991,1,-1-002-001,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
2e-08,3818.87899157017,-1045.05350378788,1,-1-002-001,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
2e-08,3789.6507260101,-1018.89950973376,1,-1-002-001,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
2e-08,3775.70886504204,-1007.12389520202,1,-1-002-001,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
2e-08,3746.07938762626,-982.818008271281,1,-1-002-001,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
2e-08,3728.07359129549,-969.194286616161,1,-1-002-001,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
2e-08,3702.50804924242,-949.968754681704,1,-1-002-001,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
2e-08,3675.00413922105,-931.264678030303,1,-1-002-001,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
2e-08,3658.93671085859,-920.147147540185,1,-1-002-001,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
2e-08,3615.42297885884,-893.335069444444,1,-1-002-001,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
2e-08,3615.36537247475,-893.298105414731,1,-1-002-001,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
2e-08,3571.79403409091,-866.757115645359,1,-1-002-001,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
