sample,r,theo,border,trans,iso
1461EP,144.458587646484,65559.6462774259,94738.9012920474,98038.4147928081,94693.0185334131
1461EP,145.55297088623,66556.736857288,96099.7424127624,99477.9094819753,96064.4592047498
1461EP,146.647354125977,67561.3526490736,97444.1878573242,100900.80478544,97418.7998426448
1461EP,147.741737365723,68573.4936527828,98874.0985116073,102335.649057602,98776.3718195976
1461EP,148.836120605469,69593.1598684154,100248.131468537,103768.006271174,100130.660108969
1461EP,149.930503845215,70620.3512959714,101491.762474718,105122.701534237,101418.105211189
1461EP,151.024887084961,71655.067935451,102979.208601144,106673.221504261,102883.837597574
1461EP,152.119270324707,72697.3097868541,104476.054071182,108258.471672539,104389.333178034
1461EP,153.213653564453,73747.0768501806,105878.227094087,109687.65259121,105742.1951884
1461EP,154.308036804199,74804.3691254307,107244.959301904,111131.19695733,107109.541895797
1461EP,155.402420043945,75869.1866126042,108745.848475031,112654.221217159,108550.290683694
1461EP,156.496803283691,76941.5293117012,110257.065818413,114190.613104598,110005.433428816
1461EP,157.591186523438,78021.3972227217,111676.26985576,115697.956940325,111440.947994348
1461EP,158.685569763184,79108.7903456657,113358.592487007,117303.862159375,112963.909912769
1461EP,159.77995300293,80203.7086805332,114859.376731839,118858.61644291,114428.999977653
1461EP,160.874336242676,81306.1522273241,116372.929493406,120400.473310317,115880.196247896
1461EP,161.968719482422,82416.1209860386,117886.85488423,122005.768013952,117401.843104273
1461EP,163.063102722168,83533.6149566765,119334.338408372,123516.05906602,118819.842844092
1461EP,164.157485961914,84658.634139238,120901.94633785,125153.540269214,120364.034329053
1461EP,165.25186920166,85791.1785337229,122277.370778947,126611.08396591,121741.216595628
1461EP,166.346252441406,86931.2481401313,123871.290762014,128245.466530642,123280.634742078
1461EP,167.440635681152,88078.8429584632,125375.90639042,129878.31158779,124836.453432448
1461EP,168.535018920898,89233.9629887186,126894.806344413,131474.335152211,126334.442865062
1461EP,169.629402160645,90396.6082308974,128361.460959903,133029.252050231,127791.502704441
1461EP,170.723785400391,91566.7786849998,129860.576392035,134612.503953455,129279.525179473
1461EP,171.818168640137,92744.4743510256,131469.325067217,136317.08453116,130880.940193456
1461EP,172.912551879883,93929.695228975,132947.776230652,138004.183675386,132468.851262881
1461EP,174.006935119629,95122.4413188478,134428.689296822,139585.304705725,133964.163022371
1461EP,175.101318359375,96322.7126206441,136036.196544454,141287.157651954,135563.095601985
1461EP,176.195701599121,97530.5091343639,137517.109610624,142883.723175029,137069.79114248
1461EP,177.290084838867,98745.8308600072,139117.45903294,144598.747365151,138694.406327699
1461EP,178.384468078613,99968.6777975739,140817.600207116,146389.807710901,140373.677775015
1461EP,179.478851318359,101199.049947064,142343.183989289,148016.81351825,141902.963701774
1461EP,180.573234558105,102436.947308478,143864.881746544,149710.123816403,143492.994208057
1461EP,181.667617797852,103682.369881815,145580.754203409,151548.688705225,145231.086255548
1461EP,182.762001037598,104935.317667076,147169.613754947,153260.633297382,146845.001414157
