condition,pattern,pathway,cell_group,raw_score,row_scaled_score,cell_total_raw,pathway_total_raw,pathway_order,group_order
Aged,outgoing,TENASCIN,Vascular stromal,0.0204817186298603,0.248220713859233,4.66094209051303,0.181502659165412,6,7
Aged,outgoing,ICAM,FAP3,0.00632494784404643,0.104820282229427,6.78556969220147,0.0793157213615141,7,1
Aged,outgoing,ICAM,Other FAPs,0.00632494784404643,0.104820282229427,8.83358464438016,0.0793157213615141,7,2
Aged,outgoing,ICAM,MuSC,0,0,4.36207422495473,0.0793157213615141,7,3
Aged,outgoing,ICAM,Myogenic,0,0,0.308118971467613,0.0793157213615141,7,4
Aged,outgoing,ICAM,Immune,0.00632494784404643,0.104820282229427,0.0401735859384535,0.0793157213615141,7,5
Aged,outgoing,ICAM,Endothelial,0.0603408778293748,1,2.84929000191541,0.0793157213615141,7,6
Aged,outgoing,ICAM,Vascular stromal,0,0,4.66094209051303,0.0793157213615141,7,7
Aged,outgoing,TGFb,FAP3,0.0045356821349008,0.20297520602867,6.78556969220147,0.0422105380263267,8,1
Aged,outgoing,TGFb,Other FAPs,0.00296786661142954,0.132814275560714,8.83358464438016,0.0422105380263267,8,2
Aged,outgoing,TGFb,MuSC,0,0,4.36207422495473,0.0422105380263267,8,3
Aged,outgoing,TGFb,Myogenic,0,0,0.308118971467613,0.0422105380263267,8,4
Aged,outgoing,TGFb,Immune,0.0223459910382362,1,0.0401735859384535,0.0422105380263267,8,5
Aged,outgoing,TGFb,Endothelial,0.00608334456020654,0.27223427011124,2.84929000191541,0.0422105380263267,8,6
Aged,outgoing,TGFb,Vascular stromal,0.00627765368155364,0.280929750254171,4.66094209051303,0.0422105380263267,8,7
Aged,outgoing,JAM,FAP3,0,0,6.78556969220147,0.0362129407124904,9,1
Aged,outgoing,JAM,Other FAPs,0,0,8.83358464438016,0.0362129407124904,9,2
Aged,outgoing,JAM,MuSC,0.00194116815872528,0.0566404365481825,4.36207422495473,0.0362129407124904,9,3
Aged,outgoing,JAM,Myogenic,0,0,0.308118971467613,0.0362129407124904,9,4
Aged,outgoing,JAM,Immune,0,0,0.0401735859384535,0.0362129407124904,9,5
Aged,outgoing,JAM,Endothelial,0.0342717725537652,1,2.84929000191541,0.0362129407124904,9,6
Aged,outgoing,JAM,Vascular stromal,0,0,4.66094209051303,0.0362129407124904,9,7
Aged,outgoing,CDH5,FAP3,0,0,6.78556969220147,0.0243867508263049,10,1
Aged,outgoing,CDH5,Other FAPs,0,0,8.83358464438016,0.0243867508263049,10,2
Aged,outgoing,CDH5,MuSC,0,0,4.36207422495473,0.0243867508263049,10,3
Aged,outgoing,CDH5,Myogenic,0,0,0.308118971467613,0.0243867508263049,10,4
Aged,outgoing,CDH5,Immune,0,0,0.0401735859384535,0.0243867508263049,10,5
Aged,outgoing,CDH5,Endothelial,0.0243867508263049,1,2.84929000191541,0.0243867508263049,10,6
Aged,outgoing,CDH5,Vascular stromal,0,0,4.66094209051303,0.0243867508263049,10,7
Aged,outgoing,CDH,FAP3,0,0,6.78556969220147,0.0243867508263049,11,1
Aged,outgoing,CDH,Other FAPs,0,0,8.83358464438016,0.0243867508263049,11,2
Aged,outgoing,CDH,MuSC,0.0243867508263049,1,4.36207422495473,0.0243867508263049,11,3
Aged,outgoing,CDH,Myogenic,0,0,0.308118971467613,0.0243867508263049,11,4
Aged,outgoing,CDH,Immune,0,0,0.0401735859384535,0.0243867508263049,11,5
Aged,outgoing,CDH,Endothelial,0,0,2.84929000191541,0.0243867508263049,11,6
Aged,outgoing,CDH,Vascular stromal,0,0,4.66094209051303,0.0243867508263049,11,7
Young,incoming,COLLAGEN,FAP3,3.21011617510544,0.807840468277947,5.28157614199179,19.6686301083553,1,1
Young,incoming,COLLAGEN,Other FAPs,3.97370062674425,1,6.05523592906163,19.6686301083553,1,2
Young,incoming,COLLAGEN,MuSC,2.82996457192388,0.712173572633361,5.70717396131039,19.6686301083553,1,3
Young,incoming,COLLAGEN,Myogenic,0,0,0.496074959979603,19.6686301083553,1,4
Young,incoming,COLLAGEN,Immune,3.74003022443332,0.941195770829273,6.19276415314689,19.6686301083553,1,5
Young,incoming,COLLAGEN,Endothelial,2.36306101428949,0.594675149503048,4.41814675026932,19.6686301083553,1,6
Young,incoming,COLLAGEN,Vascular stromal,3.55175749585896,0.893816074606758,6.00154220104743,19.6686301083553,1,7
Young,incoming,LAMININ,FAP3,1.3730987785788,0.610832600339104,5.28157614199179,10.6247723141935,2,1
Young,incoming,LAMININ,Other FAPs,1.2982201429688,0.577522315301317,6.05523592906163,10.6247723141935,2,2
Young,incoming,LAMININ,MuSC,2.24791338546194,1,5.70717396131039,10.6247723141935,2,3
Young,incoming,LAMININ,Myogenic,0.353853900890008,0.157414384014307,0.496074959979603,10.6247723141935,2,4
Young,incoming,LAMININ,Immune,1.64761987212512,0.732955229850429,6.19276415314689,10.6247723141935,2,5
Young,incoming,LAMININ,Endothelial,1.66801165790101,0.742026658450739,4.41814675026932,10.6247723141935,2,6
Young,incoming,LAMININ,Vascular stromal,2.03605457626786,0.905753126181707,6.00154220104743,10.6247723141935,2,7
Young,incoming,FN1,FAP3,0.62191091800293,0.930346641055768,5.28157614199179,2.92425417146056,3,1
Young,incoming,FN1,Other FAPs,0.62097864210111,0.92895200441459,6.05523592906163,2.92425417146056,3,2
Young,incoming,FN1,MuSC,0.498292338490767,0.745419625156869,5.70717396131039,2.92425417146056,3,3
Young,incoming,FN1,Myogenic,0,0,0.496074959979603,2.92425417146056,3,4
Young,incoming,FN1,Immune,0.668472255993936,1,6.19276415314689,2.92425417146056,3,5
Young,incoming,FN1,Endothelial,0.217183198950079,0.324894858391923,4.41814675026932,2.92425417146056,3,6
Young,incoming,FN1,Vascular stromal,0.297416817921739,0.444920212102919,6.00154220104743,2.92425417146056,3,7
Young,incoming,THBS,FAP3,0.0280394364697943,0.253940470596925,5.28157614199179,0.404125607953603,4,1
Young,incoming,THBS,Other FAPs,0.0280394364697943,0.253940470596925,6.05523592906163,0.404125607953603,4,2
Young,incoming,THBS,MuSC,0,0,5.70717396131039,0.404125607953603,4,3
Young,incoming,THBS,Myogenic,0.110417360430511,1,0.496074959979603,0.404125607953603,4,4
Young,incoming,THBS,Immune,0.0280394364697943,0.253940470596925,6.19276415314689,0.404125607953603,4,5
Young,incoming,THBS,Endothelial,0.099172577683198,0.898161098006054,4.41814675026932,0.404125607953603,4,6
Young,incoming,THBS,Vascular stromal,0.110417360430511,1,6.00154220104743,0.404125607953603,4,7
Young,incoming,HSPG,FAP3,0,0,5.28157614199179,0.142789510506796,5,1
Young,incoming,HSPG,Other FAPs,0,0,6.05523592906163,0.142789510506796,5,2
Young,incoming,HSPG,MuSC,0.110985811847712,1,5.70717396131039,0.142789510506796,5,3
Young,incoming,HSPG,Myogenic,0.0318036986590843,0.286556435724626,0.496074959979603,0.142789510506796,5,4
Young,incoming,HSPG,Immune,0,0,6.19276415314689,0.142789510506796,5,5
Young,incoming,HSPG,Endothelial,0,0,4.41814675026932,0.142789510506796,5,6
Young,incoming,HSPG,Vascular stromal,0,0,6.00154220104743,0.142789510506796,5,7
Young,incoming,TENASCIN,FAP3,0,0,5.28157614199179,0.132139794199794,6,1
Young,incoming,TENASCIN,Other FAPs,0.0933803646820081,1,6.05523592906163,0.132139794199794,6,2
Young,incoming,TENASCIN,MuSC,0,0,5.70717396131039,0.132139794199794,6,3
Young,incoming,TENASCIN,Myogenic,0,0,0.496074959979603,0.132139794199794,6,4
Young,incoming,TENASCIN,Immune,0,0,6.19276415314689,0.132139794199794,6,5
Young,incoming,TENASCIN,Endothelial,0.0387594295177864,0.415070444946059,4.41814675026932,0.132139794199794,6,6
Young,incoming,TENASCIN,Vascular stromal,0,0,6.00154220104743,0.132139794199794,6,7
Young,incoming,ICAM,FAP3,0,0,5.28157614199179,0.0878998809152223,7,1
Young,incoming,ICAM,Other FAPs,0,0,6.05523592906163,0.0878998809152223,7,2
Young,incoming,ICAM,MuSC,0,0,5.70717396131039,0.0878998809152223,7,3
Young,incoming,ICAM,Myogenic,0,0,0.496074959979603,0.0878998809152223,7,4
Young,incoming,ICAM,Immune,0.0878998809152223,1,6.19276415314689,0.0878998809152223,7,5
Young,incoming,ICAM,Endothelial,0,0,4.41814675026932,0.0878998809152223,7,6
Young,incoming,ICAM,Vascular stromal,0,0,6.00154220104743,0.0878998809152223,7,7
