db_order	interaction_name	pathway_name
187	COL6A3_ITGA10_ITGB1	COLLAGEN
188	COL6A5_ITGA10_ITGB1	COLLAGEN
189	COL6A6_ITGA10_ITGB1	COLLAGEN
190	COL9A1_ITGA10_ITGB1	COLLAGEN
191	COL9A2_ITGA10_ITGB1	COLLAGEN
192	COL9A3_ITGA10_ITGB1	COLLAGEN
193	COL1A1_ITGA11_ITGB1	COLLAGEN
194	COL1A2_ITGA11_ITGB1	COLLAGEN
195	COL2A1_ITGA11_ITGB1	COLLAGEN
196	COL4A1_ITGA11_ITGB1	COLLAGEN
197	COL4A2_ITGA11_ITGB1	COLLAGEN
198	COL4A3_ITGA11_ITGB1	COLLAGEN
199	COL4A4_ITGA11_ITGB1	COLLAGEN
200	COL4A5_ITGA11_ITGB1	COLLAGEN
201	COL4A6_ITGA11_ITGB1	COLLAGEN
202	COL6A1_ITGA11_ITGB1	COLLAGEN
203	COL6A2_ITGA11_ITGB1	COLLAGEN
204	COL6A3_ITGA11_ITGB1	COLLAGEN
205	COL6A5_ITGA11_ITGB1	COLLAGEN
206	COL6A6_ITGA11_ITGB1	COLLAGEN
207	COL9A1_ITGA11_ITGB1	COLLAGEN
208	COL9A2_ITGA11_ITGB1	COLLAGEN
209	COL9A3_ITGA11_ITGB1	COLLAGEN
210	FN1_ITGAV_ITGB1	FN1
211	VTN_ITGAV_ITGB1	VTN
212	FN1_ITGA4_ITGB7	FN1
213	FN1_ITGAV_ITGB3	FN1
214	VTN_ITGAV_ITGB3	VTN
215	TNC_ITGAV_ITGB3	TENASCIN
216	TNR_ITGAV_ITGB3	TENASCIN
217	TNN_ITGAV_ITGB3	TENASCIN
218	TNXB_ITGAV_ITGB3	TENASCIN
219	THBS1_ITGAV_ITGB3	THBS
220	THBS2_ITGAV_ITGB3	THBS
221	THBS3_ITGAV_ITGB3	THBS
222	THBS4_ITGAV_ITGB3	THBS
223	COMP_ITGAV_ITGB3	THBS
224	FN1_ITGA2B_ITGB3	FN1
225	VTN_ITGA2B_ITGB3	VTN
226	TNC_ITGA2B_ITGB3	TENASCIN
227	TNR_ITGA2B_ITGB3	TENASCIN
228	TNN_ITGA2B_ITGB3	TENASCIN
229	TNXB_ITGA2B_ITGB3	TENASCIN
230	VTN_ITGAV_ITGB5	VTN
231	TNC_ITGAV_ITGB6	TENASCIN
232	TNR_ITGAV_ITGB6	TENASCIN
233	TNN_ITGAV_ITGB6	TENASCIN
234	TNXB_ITGAV_ITGB6	TENASCIN
235	FN1_ITGAV_ITGB6	FN1
236	VTN_ITGAV_ITGB8	VTN
237	FN1_ITGAV_ITGB8	FN1
238	LAMA1_ITGAV_ITGB8	LAMININ
239	LAMA2_ITGAV_ITGB8	LAMININ
240	LAMA3_ITGAV_ITGB8	LAMININ
241	LAMA4_ITGAV_ITGB8	LAMININ
242	LAMA5_ITGAV_ITGB8	LAMININ
243	LAMB1_ITGAV_ITGB8	LAMININ
244	LAMB2_ITGAV_ITGB8	LAMININ
245	LAMB3_ITGAV_ITGB8	LAMININ
246	LAMC1_ITGAV_ITGB8	LAMININ
247	LAMC2_ITGAV_ITGB8	LAMININ
248	LAMC3_ITGAV_ITGB8	LAMININ
249	COL1A1_ITGAV_ITGB8	COLLAGEN
250	COL1A2_ITGAV_ITGB8	COLLAGEN
251	COL2A1_ITGAV_ITGB8	COLLAGEN
252	COL4A1_ITGAV_ITGB8	COLLAGEN
253	COL4A2_ITGAV_ITGB8	COLLAGEN
254	COL4A3_ITGAV_ITGB8	COLLAGEN
255	COL4A4_ITGAV_ITGB8	COLLAGEN
256	COL4A5_ITGAV_ITGB8	COLLAGEN
257	COL4A6_ITGAV_ITGB8	COLLAGEN
258	COL6A1_ITGAV_ITGB8	COLLAGEN
259	COL6A2_ITGAV_ITGB8	COLLAGEN
260	COL6A3_ITGAV_ITGB8	COLLAGEN
261	COL6A5_ITGAV_ITGB8	COLLAGEN
262	COL6A6_ITGAV_ITGB8	COLLAGEN
263	COL9A1_ITGAV_ITGB8	COLLAGEN
264	COL9A2_ITGAV_ITGB8	COLLAGEN
265	COL9A3_ITGAV_ITGB8	COLLAGEN
266	LAMA1_ITGA6_ITGB4	LAMININ
267	LAMA2_ITGA6_ITGB4	LAMININ
268	LAMA3_ITGA6_ITGB4	LAMININ
269	LAMA4_ITGA6_ITGB4	LAMININ
270	LAMA5_ITGA6_ITGB4	LAMININ
271	LAMB1_ITGA6_ITGB4	LAMININ
272	LAMB2_ITGA6_ITGB4	LAMININ
273	LAMB3_ITGA6_ITGB4	LAMININ
274	LAMC1_ITGA6_ITGB4	LAMININ
275	LAMC2_ITGA6_ITGB4	LAMININ
276	LAMC3_ITGA6_ITGB4	LAMININ
277	FN1_CD44	FN1
278	COL1A1_CD44	COLLAGEN
279	COL1A2_CD44	COLLAGEN
280	COL2A1_CD44	COLLAGEN
281	COL4A1_CD44	COLLAGEN
282	COL4A2_CD44	COLLAGEN
283	COL4A3_CD44	COLLAGEN
284	COL4A4_CD44	COLLAGEN
285	COL4A5_CD44	COLLAGEN
286	COL4A6_CD44	COLLAGEN
287	COL6A1_CD44	COLLAGEN
288	COL6A2_CD44	COLLAGEN
289	COL6A3_CD44	COLLAGEN
290	COL6A5_CD44	COLLAGEN
291	COL6A6_CD44	COLLAGEN
292	COL9A1_CD44	COLLAGEN
293	COL9A2_CD44	COLLAGEN
294	COL9A3_CD44	COLLAGEN
295	LAMA1_CD44	LAMININ
296	LAMA2_CD44	LAMININ
297	LAMA3_CD44	LAMININ
298	LAMA4_CD44	LAMININ
299	LAMA5_CD44	LAMININ
300	LAMB1_CD44	LAMININ
301	LAMB2_CD44	LAMININ
302	LAMB3_CD44	LAMININ
303	LAMC1_CD44	LAMININ
304	LAMC2_CD44	LAMININ
305	LAMC3_CD44	LAMININ
306	COL1A1_SDC1	COLLAGEN
307	COL1A2_SDC1	COLLAGEN
308	COL2A1_SDC1	COLLAGEN
309	COL4A1_SDC1	COLLAGEN
310	COL4A2_SDC1	COLLAGEN
311	COL4A3_SDC1	COLLAGEN
312	COL4A4_SDC1	COLLAGEN
313	COL4A5_SDC1	COLLAGEN
314	COL4A6_SDC1	COLLAGEN
315	COL6A1_SDC1	COLLAGEN
316	COL6A2_SDC1	COLLAGEN
317	COL6A3_SDC1	COLLAGEN
318	COL6A5_SDC1	COLLAGEN
319	COL6A6_SDC1	COLLAGEN
320	COL9A1_SDC1	COLLAGEN
321	COL9A2_SDC1	COLLAGEN
322	COL9A3_SDC1	COLLAGEN
323	FN1_SDC1	FN1
324	TNC_SDC1	TENASCIN
325	TNR_SDC1	TENASCIN
326	TNN_SDC1	TENASCIN
327	TNXB_SDC1	TENASCIN
328	THBS1_SDC1	THBS
329	THBS2_SDC1	THBS
330	THBS3_SDC1	THBS
331	THBS4_SDC1	THBS
332	COMP_SDC1	THBS
333	COL1A1_SDC4	COLLAGEN
334	COL1A2_SDC4	COLLAGEN
335	COL2A1_SDC4	COLLAGEN
336	COL4A1_SDC4	COLLAGEN
337	COL4A2_SDC4	COLLAGEN
338	COL4A3_SDC4	COLLAGEN
339	COL4A4_SDC4	COLLAGEN
340	COL4A5_SDC4	COLLAGEN
341	COL4A6_SDC4	COLLAGEN
342	COL6A1_SDC4	COLLAGEN
343	COL6A2_SDC4	COLLAGEN
344	COL6A3_SDC4	COLLAGEN
345	COL6A5_SDC4	COLLAGEN
346	COL6A6_SDC4	COLLAGEN
347	COL9A1_SDC4	COLLAGEN
348	COL9A2_SDC4	COLLAGEN
349	COL9A3_SDC4	COLLAGEN
350	FN1_SDC4	FN1
351	TNC_SDC4	TENASCIN
352	TNR_SDC4	TENASCIN
353	TNN_SDC4	TENASCIN
354	TNXB_SDC4	TENASCIN
355	THBS1_SDC4	THBS
356	THBS2_SDC4	THBS
357	THBS3_SDC4	THBS
358	THBS4_SDC4	THBS
359	COMP_SDC4	THBS
360	LAMA1_SV2A	LAMININ
361	LAMA2_SV2A	LAMININ
362	LAMA3_SV2A	LAMININ
363	LAMA4_SV2A	LAMININ
364	LAMA5_SV2A	LAMININ
365	LAMB1_SV2A	LAMININ
366	LAMB2_SV2A	LAMININ
367	LAMB3_SV2A	LAMININ
368	LAMC1_SV2A	LAMININ
369	LAMC2_SV2A	LAMININ
370	LAMC3_SV2A	LAMININ
371	LAMA1_SV2B	LAMININ
372	LAMA2_SV2B	LAMININ
373	LAMA3_SV2B	LAMININ
374	LAMA4_SV2B	LAMININ
375	LAMA5_SV2B	LAMININ
376	LAMB1_SV2B	LAMININ
377	LAMB2_SV2B	LAMININ
378	LAMB3_SV2B	LAMININ
379	LAMC1_SV2B	LAMININ
380	LAMC2_SV2B	LAMININ
381	LAMC3_SV2B	LAMININ
382	LAMA1_SV2C	LAMININ
383	LAMA2_SV2C	LAMININ
384	LAMA3_SV2C	LAMININ
385	LAMA4_SV2C	LAMININ
386	LAMA5_SV2C	LAMININ
387	LAMB1_SV2C	LAMININ
388	LAMB2_SV2C	LAMININ
389	LAMB3_SV2C	LAMININ
390	LAMC1_SV2C	LAMININ
391	LAMC2_SV2C	LAMININ
392	LAMC3_SV2C	LAMININ
393	THBS1_CD36	THBS
394	THBS2_CD36	THBS
395	THBS3_CD36	THBS
396	THBS4_CD36	THBS
397	COMP_CD36	THBS
398	COL1A1_GP6	COLLAGEN
399	COL1A2_GP6	COLLAGEN
400	COL2A1_GP6	COLLAGEN
401	COL4A1_GP6	COLLAGEN
402	COL4A2_GP6	COLLAGEN
403	COL4A3_GP6	COLLAGEN
404	COL4A4_GP6	COLLAGEN
405	COL4A5_GP6	COLLAGEN
406	COL4A6_GP6	COLLAGEN
407	COL6A1_GP6	COLLAGEN
408	COL6A2_GP6	COLLAGEN
409	COL6A3_GP6	COLLAGEN
410	COL6A5_GP6	COLLAGEN
411	COL6A6_GP6	COLLAGEN
412	COL9A1_GP6	COLLAGEN
