"","tf","p_val_positive","avg_log2FC_positive","p_val_adj_positive","p_val_negative","avg_log2FC_negative","p_val_adj_negative","avg_log2FC_deg","p_val_adj_deg","module","kME"
"19","RFX2",7.59672540404834e-37,-0.346954706799358,8.20446343637221e-35,3.46385440401914e-13,0.34298958594094,3.49849294805933e-11,-0.015345413518451,1,"magenta",0.189039932219197
"20","NR6A1",5.20756101767502e-33,0.437479922325405,5.62416589908902e-31,0.0687198696800583,0.120786829675027,1,2.46544726002501,9.32753340516312e-05,"brown",0.0874962453972569
"21","TEAD4",2.08790936298298e-32,-0.471394600462391,2.25494211202161e-30,8.94224003654736e-15,0.4809219040712,9.03166243691283e-13,-0.065067456673769,1,"yellow",0.112392658173701
"22","TEAD1",4.59039902451983e-31,0.375156459280598,4.95763094648142e-29,2.88753782143393e-66,-0.65967010084584,2.91641319964827e-64,0.314711254804632,1,"red",0.100323250709781
"23","ETS2",8.60551188515202e-31,0.326834201485897,9.29395283596418e-29,4.88787440310143e-35,-0.503586017452476,4.93675314713244e-33,0.776877394547715,3.48268709296274e-06,"brown",0.284967752150019
"24","KLF6",9.30355469094257e-31,-0.291121073972324,1.0047839066218e-28,3.1059871501661e-49,0.466980875492118,3.13704702166777e-47,-1.08140282980638,9.41523918706924e-18,"green",0.201550039945389
"25","RREB1",1.25807893474239e-30,-0.422059026363834,1.35872524952178e-28,5.74551513328001e-39,0.478334300463443,5.80297028461281e-37,-0.828735844379447,0.0311584052857453,"turquoise",0.209204097376026
"26","NFATC3",1.61644949485938e-30,0.373041061634272,1.74576545444813e-28,1.43857969975909e-08,-0.304194260780453,1.45296549675668e-06,0.408863731658643,0.0802417109473361,"red",0.139410640321588
"27","FOXO1",4.0068037512842e-29,-0.313763805910728,4.32734805138694e-27,6.50903048362527e-56,0.572780063068079,6.57412078846152e-54,-0.297869661088148,1,"magenta",0.216710113450515
"28","MSANTD3",4.77551964397787e-28,0.31895331561647,5.1575612154961e-26,1.40987477965114e-08,-0.394597241303254,1.42397352744765e-06,0.503320819511872,1,"brown",0.196536724998638
"29","RUNX2",3.13381573280985e-26,-0.493946703860062,3.38452099143464e-24,1.01305838637869e-15,0.446732581393608,1.02318897024248e-13,-0.72518147231888,0.0223120245996354,"turquoise",0.216199933557667
"30","KLF5",4.12952893538128e-26,-0.300867152538384,4.45989125021178e-24,4.90213246848939e-09,0.141316506689379,4.95115379317428e-07,-0.609408780348898,0.0609830126918737,"yellow",0.144383661551856
"31","CREM",1.34044498578056e-25,0.354515909877801,1.447680584643e-23,0.99678673784885,-0.0218767396939255,1,0.14582932582485,1,"red",0.227132688531669
"32","MEOX2",2.69238979630632e-24,-0.367534678722991,2.90778098001083e-22,6.50765842203764e-29,0.298017276340606,6.57273500625802e-27,-1.26617411336436,2.11703260472236e-08,"turquoise",0.361041924674925
"33","ETS1",2.9495290946345e-23,0.247205522902793,3.18549142220526e-21,7.34877222480978e-09,-0.269257742545269,7.42225994705788e-07,0.438684028709553,0.000848948572320233,"brown",0.551630344765995
"34","FOXP1",6.794350146199e-22,0.224032302435808,7.33789815789492e-20,2.03582279206907e-33,-0.371050284252652,2.05618101998976e-31,0.0122162833915756,1,"brown",0.0724092179271536
"35","KLF4",8.88157874480375e-22,-0.212760690404751,9.59210504438805e-20,3.61869964673558e-11,0.20286153729701,3.65488664320294e-09,0.144433517153607,1,"magenta",0.377279727644966
"36","BNC2",3.40331427329901e-21,-0.289904457076895,3.67557941516293e-19,6.87868304384994e-53,0.514996026335385,6.94746987428844e-51,-0.633278593105601,2.65338698898223e-08,"turquoise",0.262684531026828
"37","FOS",4.0817071896185e-21,-0.289247473797365,4.40824376478798e-19,6.05523182435341e-38,0.417725786157256,6.11578414259694e-36,-1.11945803742733,4.74012556310382e-16,"magenta",0.761067101310413
"38","ESR2",7.93119904470053e-21,0.456850169933611,8.56569496827657e-19,0.510097729932999,-0.192296078419911,1,1.15732496466268,1,"blue",0.0917761100703702
"39","POU2F2",1.55446627615006e-20,0.413655424206295,1.67882357824206e-18,0.434289184472303,-0.0564769702842627,1,0.439095933078058,1,"blue",0.416492741395521
"40","RORB",1.89693828604915e-20,0.570981912207377,2.04869334893309e-18,0.0122692167610454,-0.823591409677858,1,1.90327934205614,0.0163112326647528,"brown",0.0896278100177267
"41","ELF1",1.28315822972221e-18,-0.184458099889611,1.38581088809999e-16,2.37563439919094e-50,0.469967732096064,2.39939074318285e-48,-0.410198889952153,2.37145816236617e-05,"brown",0.168300566705009
"42","MEIS1",1.36126266384376e-18,-0.254679107682637,1.47016367695127e-16,2.07504435053208e-12,0.139452436895295,2.0957947940374e-10,-0.361295041229782,1,"turquoise",0.254201836831919
"43","BATF",1.90060435611852e-17,0.381006655597666,2.052652704608e-15,2.95716386961533e-06,0.482889977349982,0.000298673550831149,0.987399963220366,1,"blue",0.262578711023357
"44","BACH2",6.2005268330576e-17,-0.256999955288292,6.69656897970221e-15,1.44757138723866e-55,0.787391990583165,1.46204710111105e-53,-0.68780172202096,2.09950050477507e-06,"brown",0.0892195359971761
"45","TRPS1",1.28297440590952e-15,0.33841546561932,1.38561235838228e-13,4.22315715105067e-12,-0.237739238414982,4.26538872256118e-10,0.312738686270381,1,"red",0.100910754419064
"46","TWIST1",4.42224427484973e-15,-0.279869813737411,4.77602381683771e-13,1.98734358383641e-21,0.384320289429143,2.00721701967478e-19,0.456396445893198,1,"yellow",0.151739614384928
"47","BHLHE41",1.30240083822998e-14,-0.352647418221407,1.40659290528838e-12,0.0121389644552164,0.131181391524854,1,-0.710445615202599,0.146285025511929,"brown",0.088262992206485
"48","TGIF2",6.05407714798479e-14,0.209915483905025,6.53840331982357e-12,0.0419571000362784,-0.174298748782633,1,-0.0204621545526038,1,"brown",0.168695907088383
"49","REL",8.38063198656118e-14,0.183567991731177,9.05108254548608e-12,0.0184933691787336,0.0921997950523146,1,-0.465772664945248,0.467535400956259,"brown",0.280276850827761
"50","HIF1A",2.63512188266749e-13,-0.171244411269944,2.84593163328088e-11,1.55603029683914e-89,0.714588757956033,1.57159059980753e-87,-0.608209781700298,0.0206173685820577,"yellow",0.253008194263
"51","JDP2",5.59243207735973e-13,-0.249851495161472,6.03982664354851e-11,0.108084859200612,-0.00545756241844986,1,-0.185879789855098,1,"magenta",0.428541056664823
"52","NR3C1",1.63746967267974e-12,-0.265928961821448,1.76846724649412e-10,3.94446443081516e-25,0.301671756715983,3.98390907512331e-23,-0.484954203277357,2.88781599134605e-06,"brown",0.127485578088114
"53","ESR1",5.716279074885e-12,0.225891625470471,6.1735814008758e-10,5.74948071111611e-05,0.152194450436952,0.00580697551822727,-0.216691641373138,1,"turquoise",0.26333295089762
"54","ATF6",1.264792870179e-11,0.194222870281696,1.36597629979332e-09,2.24898056904868e-24,-0.628808221851106,2.27147037473916e-22,0.107510569519973,1,"red",0.382568485968699
"55","JUN",1.41363790356431e-11,-0.232844782454421,1.52672893584945e-09,7.08821989380971e-18,0.235063410111851,7.15910209274781e-16,-0.703664780337232,1.86312158557941e-11,"magenta",0.669466882021046
"56","FOSB",7.56552008159845e-11,0.181661260707914,8.17076168812633e-09,0.588051956509234,-0.0550313474295963,1,0.316601293019906,0.000102450792022344,"magenta",0.651932102587355
"57","MXI1",2.51857702846525e-10,-0.218892373590145,2.72006319074247e-08,0.171733735904326,0.0106864549868457,1,-1.02871970214291,0.000813778143817455,"turquoise",0.119854781281256
"58","TCF7L1",3.67611734837894e-10,-0.2307273638838,3.97020673624926e-08,9.68940467323372e-39,0.520865903171368,9.78629871996605e-37,-0.493225877686054,0.461438712040712,"turquoise",0.269101915916894
"59","EBF3",2.30608243411126e-09,-0.229719535660525,2.49056902884016e-07,4.00134562876325e-39,0.349943856745479,4.04135908505088e-37,-0.524661990453342,0.0293238589971341,"turquoise",0.366476719415605
"60","PBX1",2.72771117618307e-09,-0.247312122623166,2.94592807027772e-07,9.90105633807112e-12,0.222554574736137,1.00000669014518e-09,-0.235861813394505,1,"turquoise",0.26890675909038
"61","ATF2",3.01837337907157e-09,-0.318688437536325,3.2598432493973e-07,7.45892964731723e-50,0.981226872946797,7.5335189437904e-48,-0.653666700033813,0.00051113636554138,"turquoise",0.16214110903214
"62","RBPJ",5.20517302268658e-09,0.136825735052116,5.62158686450151e-07,2.94920820360241e-10,0.165214657862277,2.97870028563844e-08,0.0469788553458934,1,"greenyellow",0.161913701484169
"63","EPAS1",1.48507294396539e-08,0.184250834242004,1.60387877948262e-06,6.59713105155998e-08,-0.450548571375852,6.66310236207558e-06,1.19982273672551,1.68958567170129e-19,"brown",0.417527077234132
"64","ESRRB",2.33841332479264e-08,0.574802810850927,2.52548639077605e-06,NA,NA,NA,1.89429055882888,1,"yellow",0.0764899248146589
"65","EBF1",5.06068809261098e-08,0.156438535856682,5.46554314001986e-06,9.82323146037508e-22,-0.292363204607724,9.92146377497883e-20,0.393491509818659,1.38017637761766e-05,"turquoise",0.326939438064383
"66","TBX15",1.89560892581186e-07,-0.17233710067197,2.0472576398768e-05,1.67976242731436e-14,0.284494679312338,1.6965600515875e-12,-0.432726412731277,1,"turquoise",0.205938860820473
"67","PPARG",2.90748116479392e-07,0.174768371429635,3.14007965797744e-05,0.54922224886976,-0.296443556246967,1,0.596209205895891,1,"yellow",0.139999242513026
"68","ZEB1",3.48702341946586e-07,-0.157616883525885,3.76598529302312e-05,5.26960364737051e-47,0.298748242115816,5.32229968384421e-45,-0.0631562568459088,1,"turquoise",0.376622724039905
"69","TCF4",3.70326356946102e-07,-0.162090642927268,3.9995246550179e-05,1.47574721851306e-35,0.279091596414315,1.49050469069819e-33,-0.392955696673764,0.000507058277643418,"turquoise",0.508413914118863
"70","FOXN3",3.70489916628096e-07,-0.173781932309223,4.00129109958344e-05,2.00887261134715e-43,0.440216711413721,2.02896133746062e-41,-0.0366321589493257,1,"turquoise",0.290010037757478
"71","ETV1",3.80104779777761e-07,-0.173881310147203,4.10513162159982e-05,5.52846617199932e-56,0.575288269944074,5.58375083371931e-54,-0.740227766366504,0.00650928943010361,"blue",0.164079038733915
"72","ETV3",5.22863703325834e-07,0.254747994067716,5.646927995919e-05,3.80640457638723e-05,0.293606933855553,0.0038444686221511,-0.234992458116082,1,"brown",0.149975400166179
"73","RFX7",1.16313187455663e-06,-0.412442256383768,0.000125618242452116,NA,NA,NA,0.019821440912744,1,"turquoise",0.191640651941485
"74","PAX1",1.43078969452833e-06,0.140712555276258,0.00015452528700906,1.01721345848441e-13,0.54575885223696,1.02738559306926e-11,0.309328058107729,1,"red",0.230606044439323
"75","MEOX1",1.21572748854743e-05,-0.212686901850365,0.00131298568763122,0.00810827795308833,1.43058587282347,0.818936073261921,1.15732496466268,1,"black",0.177352723725247
"76","PRRX1",2.20704379270839e-05,0.0801939067682187,0.00238360729612507,0.0112242450781427,0.0802943735535147,1,-0.115833658444822,1,"brown",0.271902869461333
"77","ATF3",4.65393622414119e-05,-0.151228800664291,0.00502625112207248,1.62312301590969e-07,0.237489029169845,1.63935424606879e-05,-0.304868942930078,1,"magenta",0.629902077948053
"78","EGR1",5.57595076698889e-05,-0.100556219460269,0.006022026828348,5.39055106426616e-08,0.121488780998725,5.44445657490882e-06,-0.154994875240311,0.204964557444555,"magenta",0.644653196847773
"79","SOX9",9.93105832288431e-05,0.253576462216095,0.0107255429887151,0.368129572198692,-0.0747036666166347,1,0.408863731658643,1,"red",0.0703676901071245
"80","NFIA",0.000106320265691335,-0.136982914114646,0.0114825886946642,6.4936264578073e-26,0.241832036162194,6.55856272238537e-24,-0.395339983748409,2.86651925008457e-05,"turquoise",0.563213909436845
"81","CEBPD",0.000141342347630468,-0.125239200325742,0.0152649735440906,0.000117904669976878,-0.15242332298026,0.0119083716676647,-0.522176250315115,2.71295766617313e-05,"purple",0.332590919345342
"82","KLF3",0.000268296638845753,-0.0896200610786124,0.0289760369953413,1.16503162938633e-36,0.443299268284361,1.17668194568019e-34,-0.0366856553039465,1,"brown",0.105619375943488
"83","TCF7L2",0.000465714741454298,0.10875145870662,0.0502971920770641,0.719085602841162,-0.0590678208354545,1,0.263235068797432,1,"magenta",0.210800688729996
"84","ZBTB7C",0.00759733467615199,0.055198244910887,0.820512145024415,0.139455376146149,0.035169476781765,1,1.27033392649187,1.99304243466522e-09,"yellow",0.583849754690941
"85","MYBL1",0.00775172802338232,0.666967914127427,0.837186626525291,NA,NA,NA,-0.515100377308817,1,"blue",0.109832028663523
"86","MEF2C",0.0104403521235903,-0.0775795421272774,1,8.20803046656209e-34,0.316477087765682,8.29011077122771e-32,1.27280218208262,1,"pink",0.510727364580156
"87","TFEC",0.0144717558167529,0.465693498315888,1,NA,NA,NA,-0.427637536058478,1,"pink",0.144822366306701
"88","LMX1A",0.0208632546720521,-0.0748057600449004,1,0.000661197621294528,0.0458247812887143,0.0667809597507473,-0.664676733359327,1,"turquoise",0.203604905404606
"89","KLF12",0.0227277417514714,0.0259687691424086,1,5.23969415460443e-06,0.0949209768292874,0.000529209109615048,-0.318204294972532,1,"turquoise",0.175508002016611
"90","JUNB",0.0265439606705127,-0.0674556014763468,1,1.74968745735048e-08,0.129364254553346,1.76718433192399e-06,-0.434684635751881,3.01719320678725e-05,"magenta",0.658602118348656
"91","PRRX2",0.0288014521126793,-0.0738045662926106,1,5.10617460873169e-07,0.132159355019986,5.15723635481901e-05,-0.578259399105167,0.0492843277837615,"greenyellow",0.138502796927181
"92","HES1",0.0318808284789816,0.0959959418844822,1,0.697302333522065,-0.0619715132278733,1,0.149992318428209,1,"magenta",0.379598640535756
"93","TP53",0.0365862780478752,0.140903832002349,1,0.657744374119918,-0.232068520329951,1,0.463133394186764,1,"red",0.13447889251566
"94","NR4A1",0.0552327427071635,-0.0431016015086061,1,2.0354267182918e-16,0.231580010520027,2.05578098547472e-14,0.0894209001608752,1,"magenta",0.516163355203202
"95","FLI1",0.0952942365838791,0.0314013167302267,1,9.01728822738936e-14,-0.453305906431151,9.10746110966326e-12,-0.362786391708509,1,"purple",0.189644410892883
"96","NR3C2",0.100849895696145,0.0486233328806209,1,0.072557604279145,0.0140463502652364,1,0.626402303654412,1,"turquoise",0.249033447780755
"97","BCL11A",0.107358090055042,-0.0780853906695542,1,NA,NA,NA,0.572362463941522,1,"black",0.189145625286642
"98","ZNF75D",0.11563744811013,-0.329727428862762,1,7.77239384056079e-28,1.13292179776237,7.8501177789664e-26,-0.314426925610486,1,"turquoise",0.131832614700585
"99","ZSCAN31",0.123875020970391,-0.117536801800393,1,0.0562167158827179,0.423208807048116,1,-2.74956563094584,1,"turquoise",0.123067827051152
"100","VDR",0.154385635436144,-0.051290149723318,1,0.414617147911725,-0.0449817391337919,1,-1.06855644275365,0.00246875081016888,"red",0.109224438048671
"101","GLI3",0.205162299045537,0.0208002024088514,1,6.49852904254824e-23,0.433278836188446,6.56351433297372e-21,-0.161080063660986,1,"turquoise",0.180197387693484
"102","MEIS2",0.410281261279033,-0.0324205745087736,1,0.298560008511904,-0.0524218257714231,1,-0.244166002778217,1,"brown",0.10540625796987
"103","KLF7",0.525291373523678,-0.0238779889944167,1,0.00348447620741776,-0.109601799779541,0.351932096949194,-0.0985139397669113,1,"turquoise",0.15892422303985
"104","RARB",0.560600827132644,-0.274313122413498,1,0.295931715370661,0.267627654804373,1,0.572362463941523,1,"black",0.180260504830082
"105","ZNF652",0.565884653195428,-0.152566735478213,1,8.16535345554659e-14,0.52168377764641,8.24700699010206e-12,-0.591136268341357,1,"turquoise",0.182967786397482
"106","PBX3",0.601767355715183,-0.0119284664688855,1,0.140420523780201,0.032796672683514,1,-0.255301440516421,1,"brown",0.110030518092531
"107","TFCP2",0.78033197321718,-0.477712126018041,1,NA,NA,NA,0.556242798578246,1,"turquoise",0.1272987766945
"108","IKZF1",0.840690039589339,-0.217033034347617,1,NA,NA,NA,-0.427637536058478,1,"pink",0.128535110156926
