"","gene_name","module","color","kME_pink","kME_blue","kME_grey","kME_yellow","kME_turquoise","kME_brown","kME_red","kME_black","kME_greenyellow","kME_green","kME_purple","kME_magenta"
"OAF","OAF","brown","brown",-0.0514948488620068,-0.100616459691488,0.0188791977290871,-0.0755408735816089,-0.0914672381007503,0.200867128515436,-0.000983697038849067,0.04050380303199,0.0549737818243095,0.0828019692942868,0.0438518482825549,-0.0836489471958171
"IFRD1","IFRD1","magenta","magenta",-0.0302712031465589,-0.0737862731234255,0.0548827638401467,-0.0406546018015791,0.0161274920740046,-0.0573175126487958,0.150284820712596,0.00342701667707074,-0.0830789657491423,-0.000322605794350267,0.128139337846945,0.412154393161487
"MAPKAP1","MAPKAP1","turquoise","turquoise",-0.0200494651660819,0.0567486950395358,0.123020497799904,-0.0116966285135389,0.196445376474557,-0.120158632509489,-0.0782272578503742,0.0291219608036731,0.0439376546182829,0.0423216080766392,-0.0568754375068237,-0.0088015453019388
"HIF3A","HIF3A","blue","blue",-0.00889565940617356,0.0756425806481521,0.0767112599679868,-0.0491865330851689,0.0864567013856522,-0.0763123393607411,0.00826781518929731,-0.0420960086752841,0.0662040171571475,-0.0763668089263875,-0.0501604930759141,0.00288151534340634
"KLF6","KLF6","green","green",0.0235980019679451,-0.0662067354226769,-0.0386151273414905,0.0392428617321193,-0.0846252549759665,0.0824361364675854,-0.102903906712555,0.0933280277473235,0.0640570200280716,0.201550039945389,0.0263898650874022,0.0555204137428497
"GMCL1","GMCL1","turquoise","turquoise",-0.0170583349566153,0.10175544301341,0.118780760877232,-0.0151710797319033,0.205414565144193,-0.159155396451395,-0.103837813035679,0.0597665080386449,0.0699934448091396,0.0379648213119822,-0.0769952307205688,0.00737588448848611
"MTBP","MTBP","blue","blue",-0.00711969101335916,0.176594179843172,0.0356675448408357,0.0942901077824151,0.0864646466966413,-0.0742127106738408,-0.0599650162454695,0.0281149467739998,0.0538650684763731,0.0225186281982379,-0.0761805709340333,-0.032311327438777
"TMEFF1","TMEFF1","blue","blue",-0.00789479606983676,0.142697495288503,-0.0294870077848425,0.0613062075606175,-0.0446308232894608,0.0516407489607014,-0.0139698847201935,0.0287740827868856,0.0141813423747567,0.0259051307801016,-0.0432886932668435,-0.07318345556153
"SPOPL","SPOPL","turquoise","turquoise",-0.0321862444551182,-0.0229464614450008,0.12098274165332,-0.0424629658571655,0.155386127467974,-0.0937296894697567,-0.0783369876642204,0.0276240922748528,0.0301020694240015,0.0742285924136316,-0.0101127085757262,0.0568142122318877
"ZNF341-AS1","ZNF341-AS1","red","red",-0.0276972157133461,0.0466217530173896,-0.02516942126089,0.0324115910309482,-0.107782709946819,0.146678168976713,0.167199925795751,-0.0218828004753147,-0.0255680418209695,-0.0670370259989958,0.0500261869281257,-0.0232564982124212
"ZNF670","ZNF670","brown","brown",-0.0413033220160561,-0.0219451823921374,0.0039261535953674,-0.0201275489616217,-0.101482995086855,0.191270822279437,0.118056499091186,-0.0339833998124296,0.00616153643075525,-0.0576034971890261,0.0326525222523155,-0.0371468616315275
"ZNF33B","ZNF33B","turquoise","turquoise",0.000463092135470496,0.00337078449712687,0.0598711549460687,-0.0233557115315001,0.0843763782694537,-0.0646834303500355,-0.0416133365075015,0.00603578374416508,0.00348707544531048,0.00344272458100713,-0.0285868927874483,-0.00619251330255082
"FNDC1","FNDC1","greenyellow","greenyellow",-0.0331290507000659,0.0169305600730155,0.101219722770021,-0.0777724280296597,0.0464185203343535,0.0233986418459165,-0.0399647171799528,0.176567856699414,0.322373183977968,0.154734256736134,-0.0637821448529145,-0.0391152044902261
"L2HGDH","L2HGDH","blue","blue",-0.0192424201928525,0.142973612756208,0.0451047986800048,0.0124499568106268,0.0336638290251118,-0.00747012633310137,-0.0202487632251758,-0.00485953733118197,0.0517995811257332,-0.00642238218104891,-0.0566811222405025,-0.0514518929311884
"MAN2A1","MAN2A1","purple","purple",-0.103214048310761,-0.0804821380520707,0.0978589054967655,-0.0944716127468277,0.0445661009757371,0.0930453774754162,0.126190438299343,-0.0241093380000054,-0.0400154602327885,0.0759377139078088,0.327561322622108,0.109916877050675
"LINC01588","LINC01588","blue","blue",-0.0173916858212389,0.300228418566352,0.0157975838999893,0.0536036649807057,-0.027645286813263,0.0831885936274811,0.0689639840979351,-0.0118043745838816,0.0456489679264657,-0.0483741891264137,-0.0407922865527746,-0.119322948116306
"BDNF-AS","BDNF-AS","turquoise","turquoise",-0.00343219006066035,0.0550684425636879,0.0643405163776846,-0.00602089782222307,0.119970353054171,-0.101228357314528,-0.0318286224101983,0.00438595013562346,0.00971749562690783,0.00753168420844004,-0.0373955390099481,0.0170965194956641
"RHOQ","RHOQ","magenta","magenta",-0.0747972003955177,0.0109407400788324,0.0756735899739261,-0.00248588913172313,0.0278198346737777,-0.00105561547615186,0.16405241769979,-0.0292271267112191,0.0211907010575727,-0.0225973146221596,0.132597734163053,0.187189436667873
"ARID5B","ARID5B","brown","brown",-0.0824996453898189,-0.140233675865068,-0.127427709573483,0.0206288821111998,-0.395946909652548,0.504042121849394,0.280424257647926,-0.101067226359954,-0.117792706935288,-0.104203173324733,0.287285525026187,-0.0714335827411434
"IFT80","IFT80","turquoise","turquoise",-0.00991029961115644,0.0224686591638105,0.057364733055426,0.0352830453365968,0.147939204597561,-0.120671479369771,-0.11514987847875,0.0520536099397995,0.00445889238398953,0.0988842888413148,-0.0665542118561378,-0.0124749772583396
"TNS3","TNS3","blue","blue",-0.0378548102353932,0.153118106966253,0.119709680664258,-0.0724156630410779,0.152008253044868,-0.0557053355643992,0.0505601926743358,0.0573499694719803,0.0129503941234575,0.0430202124844898,0.0729887639645025,0.0230718372854457
"AC006994.2","AC006994.2","turquoise","turquoise",-0.00953199266956981,0.0395350647887705,0.0705581619385866,-0.0340875152644106,0.105242951692743,-0.102666996981592,-0.0363311434301479,-0.0160758793103017,-0.00391243314875755,-0.0174976114799519,-0.0347433104181363,0.0315785236088948
